4=0.3401864690413577,1=0.08343294286397311,12=0.08008606263447282,8=0.07960793688740134,5=0.06239540999282812,0=0.05044226631604108,6=0.04781257470714795,3=0.043031317236433116,2=0.042792254362897374,7=0.04255319148936164,9=0.04255319148936164,10=0.04255319148936164,11=0.04255319148936164,
11=0.2884766135354062,3=0.13822837731904902,9=0.09406846093545869,4=0.05121505095374972,1=0.04912464071073954,0=0.04834073686961072,10=0.047818134308858166,7=0.0475568330284819,5=0.04729553174810562,8=0.04729553174810562,12=0.04729553174810562,6=0.04677292918735307,2=0.0465116279069768,
9=0.24126092384519354,1=0.11641697877652933,11=0.06679151061173523,3=0.06273408239700366,0=0.06273408239700365,2=0.057428214731585416,5=0.056491885143570425,12=0.056491885143570425,7=0.056179775280898764,8=0.056179775280898764,4=0.05586766541822711,6=0.05586766541822711,10=0.05555555555555545,
2=0.5388342696629215,7=0.10484550561797755,9=0.08061797752808988,1=0.05786516853932583,10=0.041643258426966305,5=0.03672752808988765,6=0.029353932584269646,4=0.02661516853932582,0=0.018609550561797753,8=0.018398876404494377,12=0.017345505617977524,3=0.014957865168539317,11=0.014185393258426948,
10=0.18726591760299593,1=0.14077990746860525,4=0.13108614232209723,5=0.1108173606521259,6=0.07336417713152667,8=0.060145406477197544,12=0.05243445692883888,0=0.0456047587574355,3=0.040978189028420306,2=0.03943599911874858,7=0.03943599911874858,11=0.03943599911874858,9=0.03921568627450976,
10=0.15477528089887657,5=0.1382022471910112,8=0.10926966292134835,12=0.09522471910112355,1=0.06713483146067413,0=0.0632022471910112,6=0.06011235955056177,4=0.05898876404494377,3=0.05252808988764037,9=0.05028089887640441,11=0.05028089887640441,2=0.04999999999999991,7=0.04999999999999991,
4=0.2832397003745317,9=0.1172752808988764,8=0.0830992509363296,12=0.07982209737827713,5=0.05875468164794009,0=0.05781835205992512,3=0.050093632958801496,11=0.05009363295880147,6=0.0491573033707865,1=0.04494382022471905,2=0.04190074906367036,7=0.04190074906367036,10=0.04190074906367036,
8=0.13142662580864833,12=0.12121212121212124,5=0.09874021109976161,0=0.07626830098740206,6=0.07626830098740206,4=0.06979911474293492,3=0.06264896152536598,1=0.06060606060606056,2=0.06060606060606056,7=0.06060606060606056,9=0.06060606060606056,10=0.06060606060606056,11=0.06060606060606056,
8=0.13585291113381007,12=0.1270003404834866,5=0.08920667347633635,6=0.07524685052774935,0=0.07388491658154574,4=0.07184201566224034,3=0.06264896152536598,1=0.061287027579162365,2=0.06060606060606056,7=0.06060606060606056,9=0.06060606060606056,10=0.06060606060606056,11=0.06060606060606056,
9=0.1497115092620709,12=0.11478894624962038,8=0.11266322502277559,5=0.08320680230792586,6=0.07105982386881263,0=0.06771940479805652,4=0.06468266018827822,3=0.0583054965077437,1=0.05800182204676587,11=0.05617977528089889,10=0.05496507743698753,2=0.054661402976009715,7=0.05405405405405404,
1=0.34558587479935793,7=0.2134831460674155,9=0.12504012841091477,2=0.04221508828250395,11=0.03675762439807378,10=0.03242375601926158,3=0.030497592295345047,0=0.030176565008025624,4=0.028892455858747935,12=0.028892455858747935,6=0.028731942215088225,8=0.028731942215088225,5=0.028571428571428515,
